state,crash_count,year
Western Australia,193,2010
Australian Capital Territory,6,2011
New South Wales,364,2011
Northern Territory,45,2011
Queensland,269,2011
South Australia,103,2011
Tasmania,24,2011
Victoria,287,2011
Western Australia,179,2011
Australian Capital Territory,12,2012
New South Wales,369,2012
Northern Territory,49,2012
Queensland,280,2012
South Australia,94,2012
Tasmania,31,2012
Victoria,282,2012
Western Australia,183,2012
Australian Capital Territory,7,2013
New South Wales,333,2013
Northern Territory,37,2013
Queensland,271,2013
South Australia,98,2013
Tasmania,36,2013
Victoria,243,2013
Western Australia,162,2013
Australian Capital Territory,10,2014
New South Wales,307,2014
Northern Territory,39,2014
Queensland,223,2014
South Australia,108,2014
Tasmania,33,2014
Victoria,248,2014
Western Australia,183,2014
Australian Capital Territory,15,2015
New South Wales,350,2015
Northern Territory,49,2015
Queensland,243,2015
South Australia,102,2015
Tasmania,34,2015
Victoria,252,2015
Western Australia,159,2015
Australian Capital Territory,10,2016
New South Wales,380,2016
Northern Territory,45,2016
Queensland,251,2016
South Australia,86,2016
Tasmania,37,2016
Victoria,290,2016
Western Australia,193,2016
Australian Capital Territory,5,2017
New South Wales,389,2017
Northern Territory,31,2017
Queensland,247,2017
South Australia,100,2017
Tasmania,32,2017
Victoria,259,2017
Western Australia,159,2017
Australian Capital Territory,9,2018
New South Wales,347,2018
Northern Territory,50,2018
Queensland,245,2018
South Australia,80,2018
Tasmania,32,2018
Victoria,213,2018
Western Australia,158,2018
Australian Capital Territory,6,2019
New South Wales,353,2019
Northern Territory,36,2019
Queensland,219,2019
South Australia,114,2019
Tasmania,29,2019
Victoria,266,2019
Western Australia,163,2019
Australian Capital Territory,7,2020
New South Wales,284,2020
Northern Territory,31,2020
Queensland,277,2020
South Australia,93,2020
Tasmania,36,2020
Victoria,211,2020
Western Australia,154,2020
Australian Capital Territory,9,2021
New South Wales,203,2021
Northern Territory,26,2021
Queensland,207,2021
South Australia,72,2021
Tasmania,29,2021
Victoria,174,2021
Western Australia,123,2021
